,TikToker Name,YouTube Channel,Videos Published,First Video Publish Date,Total Views,Total Subscribers
139,atfrenchies,https://www.youtube.com/channel/UCypdZZZ2XOTQXXOVl4auZ6A,86,2021-03-16T15:49:40Z,228580,2560
140,whatspoppinshow,https://www.youtube.com/channel/UCgJA7UGkInD7M-_eCBODBxA,537,2021-05-05T17:57:02Z,87780885,69300
141,joshlilj,https://www.youtube.com/channel/UCOs9JQ5-_V6GM5ZnjKnx5Tw,1284,2020-03-02T19:12:28Z,2264009978,3410000
142,melissametrano,https://www.youtube.com/channel/UCP1N9j-Jl890PHJjD3VnhLg,251,2017-07-06T23:22:10Z,797332194,1270000
143,arnienegrete,https://www.youtube.com/channel/UC-ZhwyrLDrq5PrgSgT_rc1g,1026,2018-02-23T20:50:57Z,1559734205,1290000
144,maxthemeatguy,https://www.youtube.com/channel/UC_pT_Iz6XjuM-eMTlXghdfw,273,2020-10-11T21:17:29Z,1229782650,2200000
145,codypremer,https://www.youtube.com/channel/UCAkK6PS2r3jQsTN5CeLho2g,41,2021-09-16T22:44:34Z,611096,1190
146,itsmenicksmithy2,https://www.youtube.com/channel/UCV2qRFCurLc4LXf2mA1rodw,122,2020-07-12T20:37:13Z,7598267,205000
147,aileenchristineee,https://www.youtube.com/channel/UCk2sqTNp1R7DT14Y4zhDxuw,688,2020-04-02T21:27:29Z,493029621,711000
148,chefsanddogs,https://www.youtube.com/channel/UCP64lABxTlm3CgbE-t9wbAQ,86,2020-08-09T12:41:59Z,757050,6680
149,albert_cancook,https://www.youtube.com/channel/UC0NkSnlCOhoODbykzZwpiDw,304,2020-11-24T05:49:12Z,1125005904,1780000
150,lexi.diy,https://www.youtube.com/channel/UCrd3_EO4kntjaVIjt7s5PrA,300,2019-07-21T00:14:55Z,81929324,296000
151,thefurrhafamily,https://www.youtube.com/channel/UCoVhZLxKJXXUmaLdox2zrVQ,741,2020-06-05T04:05:17Z,2164854186,2430000
152,thepasinis,https://www.youtube.com/channel/UC8OqJ6qmoxMtia0DBHYCH2g,266,2018-04-04T00:37:30Z,81311416,101000
153,twotrends,https://www.youtube.com/channel/UComOdlmkw4MRPlbDu7H_Avg,863,2020-08-09T22:05:03Z,359781456,320000
154,victorialyn,https://www.youtube.com/channel/UCtS6sgTp9jWR3rZ9RF_FDEA,354,2015-08-11T00:51:09Z,13331947,227000
155,lonefoxhome,https://www.youtube.com/channel/UCtwzsvzRCfPddq2gPlgKW1w,240,2018-03-07T20:22:47Z,110462895,1390000
156,insta.noodls,https://www.youtube.com/channel/UCs0blMflhhRf9X0I_jtNvCg,149,2021-03-05T13:35:03Z,918834,7070
157,lizlovery,https://www.youtube.com/channel/UC4HjQSNiR9PCNtuxcekj4Dg,1,2021-12-29T16:50:25Z,1290,72
158,lingualizer,https://www.youtube.com/channel/UCpeSv0N9tbe2V5fLMVrlodA,516,2017-06-09T17:46:35Z,681053493,1470000
