videoID,channelID,day,views
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,19
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,15
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,9
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,18
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,25
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,28
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,5
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,17
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,16
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,11
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,19
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,19
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,11
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,27
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,14
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,52
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,81
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,21
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,22
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,19
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,22
-d1ZBrSBYmg,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,19
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,45
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,43
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,46
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,44
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,45
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,63
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,68
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,51
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,51
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,44
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,49
Bat2WS9qBNw,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,51
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,204
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,199
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,224
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,250
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,229
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,225
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,269
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,235
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,254
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,264
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,291
ceFl7NlpykQ,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,253
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,9
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,10
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,15
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,14
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,7
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,12
gOWHigxX3S8,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,17
